gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,associate's degree,free/reduced,completed,47,58,56
male,group D,master's degree,standard,none,88,72,78
female,group A,high school,standard,completed,56,68,70
male,group E,high school,free/reduced,none,59,55,46
male,group A,some high school,standard,completed,56,53,53
male,group C,some college,standard,none,79,76,69
female,group C,high school,standard,none,50,62,63
female,group E,some high school,standard,completed,89,95,99
male,group C,some college,free/reduced,none,57,60,57
female,group C,some college,free/reduced,none,70,81,76
female,group A,some college,standard,none,51,46,42
female,group A,some high school,standard,completed,64,81,87
female,group C,some college,free/reduced,completed,64,81,87
female,group D,some high school,standard,completed,69,86,87
female,group C,associate's degree,free/reduced,none,65,66,66
male,group E,bachelor's degree,standard,none,85,77,78
female,group B,high school,standard,none,59,72,67
female,group C,high school,standard,completed,80,83,86
female,group E,some high school,standard,none,91,97,91
female,group C,associate's degree,free/reduced,completed,42,50,61
male,group E,bachelor's degree,standard,completed,100,100,100
female,group B,associate's degree,standard,none,75,91,81
female,group B,bachelor's degree,standard,completed,55,64,63
female,group C,some college,free/reduced,completed,60,80,76
female,group D,some high school,free/reduced,completed,49,69,68
female,group D,high school,standard,completed,92,95,93
male,group E,some college,standard,none,81,78,68
male,group D,high school,standard,completed,82,82,82
male,group C,high school,free/reduced,none,20,25,15
female,group B,associate's degree,standard,none,62,81,77
male,group D,associate's degree,standard,none,72,62,60
female,group D,master's degree,standard,none,44,39,37
male,group C,some high school,standard,none,84,84,74
female,group D,associate's degree,free/reduced,completed,64,67,75
male,group C,associate's degree,standard,none,81,77,71
female,group B,bachelor's degree,standard,none,73,87,89
male,group B,high school,standard,none,65,61,57
female,group B,bachelor's degree,standard,none,84,91,93
male,group C,high school,free/reduced,none,59,60,56
female,group B,some college,standard,completed,45,63,67
male,group C,master's degree,standard,none,80,79,73
female,group D,high school,free/reduced,none,75,81,87
male,group C,associate's degree,free/reduced,none,73,66,68
male,group A,some college,standard,none,82,68,63
female,group C,bachelor's degree,free/reduced,none,55,56,54
female,group B,some college,standard,none,50,48,52
male,group E,master's degree,free/reduced,none,56,46,43
male,group C,some high school,standard,none,94,84,80
male,group A,some high school,standard,none,62,54,52
male,group E,some high school,standard,none,77,62,57
female,group D,associate's degree,standard,none,84,92,90
male,group C,some high school,standard,none,28,27,23
female,group C,master's degree,standard,completed,79,87,89
female,group C,associate's degree,standard,none,57,67,64
male,group D,bachelor's degree,standard,none,63,65,58
male,group C,some college,standard,none,66,68,62
male,group E,associate's degree,standard,none,75,68,68
female,group E,some college,standard,none,62,65,65
male,group C,associate's degree,standard,none,76,61,62
female,group C,some college,free/reduced,completed,41,59,56
female,group B,bachelor's degree,standard,none,65,79,73
male,group B,high school,standard,none,65,66,61
male,group C,high school,free/reduced,none,66,66,62
female,group D,some college,free/reduced,none,36,45,44
female,group C,high school,free/reduced,completed,54,72,68
female,group C,associate's degree,standard,none,69,75,75
male,group B,some high school,free/reduced,completed,58,56,53
female,group B,some high school,standard,none,67,73,76
female,group B,some college,free/reduced,completed,55,67,68
male,group B,associate's degree,free/reduced,none,74,79,65
male,group A,some college,free/reduced,completed,74,75,78
male,group D,high school,standard,none,60,54,47
female,group D,high school,standard,none,59,69,64
male,group A,some college,standard,completed,92,86,88
female,group C,high school,standard,none,80,84,81
female,group C,high school,standard,none,71,72,69
male,group B,some high school,standard,completed,45,50,48
male,group D,some college,standard,none,59,62,52
male,group C,some college,free/reduced,completed,62,72,67
male,group C,some college,standard,none,77,77,71
female,group D,associate's degree,standard,none,75,87,90
female,group C,some high school,standard,none,67,72,71
female,group D,high school,free/reduced,completed,72,76,78
female,group D,associate's degree,standard,none,61,56,60
male,group D,associate's degree,standard,none,80,70,73
male,group C,bachelor's degree,standard,none,77,65,69
female,group C,high school,standard,none,72,76,74
male,group C,some college,standard,completed,95,85,80
male,group D,some college,standard,completed,96,92,88
female,group D,associate's degree,standard,none,84,90,90
male,group C,high school,standard,none,74,72,62
female,group B,high school,standard,none,45,52,51
male,group C,associate's degree,free/reduced,none,82,86,78
male,group B,some college,free/reduced,none,42,48,33
male,group A,high school,standard,completed,83,71,69
female,group B,some college,free/reduced,completed,69,85,84
male,group E,associate's degree,standard,completed,84,75,75
female,group E,bachelor's degree,standard,none,86,87,90
female,group A,associate's degree,standard,completed,73,68,81
female,group C,some college,standard,none,84,88,84
male,group B,master's degree,standard,none,53,50,49
female,group D,some college,standard,completed,61,63,70
female,group A,some high school,free/reduced,none,47,58,54
female,group A,associate's degree,standard,none,72,85,81
male,group A,some high school,standard,none,83,77,77
female,group D,high school,free/reduced,none,42,61,63
female,group D,some college,standard,completed,81,99,96
female,group D,some high school,free/reduced,none,30,59,51
female,group C,high school,standard,none,55,62,61
male,group E,some high school,standard,none,92,80,78
female,group B,high school,free/reduced,completed,45,61,63
male,group C,high school,standard,none,92,89,83
female,group E,some college,free/reduced,none,84,88,82
male,group D,associate's degree,standard,none,96,93,87
female,group C,bachelor's degree,standard,none,67,72,72
male,group C,high school,standard,none,77,70,60
female,group C,high school,standard,none,87,92,81
male,group C,some college,standard,none,76,65,58
male,group D,associate's degree,free/reduced,none,68,69,55
female,group D,high school,standard,none,53,66,64
female,group E,some college,standard,none,83,90,88
male,group C,bachelor's degree,free/reduced,none,65,61,57
female,group B,associate's degree,free/reduced,none,61,68,67
female,group D,high school,standard,completed,85,98,99
female,group B,some high school,free/reduced,completed,64,72,79
male,group E,high school,free/reduced,completed,74,67,61
female,group C,master's degree,standard,completed,66,70,83
female,group B,bachelor's degree,standard,none,81,84,86
male,group B,bachelor's degree,standard,completed,88,82,82
male,group C,high school,free/reduced,none,75,79,68
female,group C,some college,standard,none,71,69,73
female,group B,high school,free/reduced,none,51,69,64
female,group B,bachelor's degree,standard,completed,82,85,99
female,group D,some high school,standard,none,74,75,74
male,group C,some college,free/reduced,none,62,65,61
male,group B,high school,standard,completed,85,75,72
female,group D,some high school,standard,completed,94,91,98
female,group B,high school,free/reduced,none,55,68,66
female,group B,associate's degree,standard,completed,81,92,97
female,group B,bachelor's degree,standard,none,88,84,88
male,group D,high school,standard,completed,88,77,78
female,group B,associate's degree,standard,none,90,94,93
male,group C,bachelor's degree,free/reduced,completed,57,65,56
male,group D,associate's degree,standard,none,61,56,56
female,group B,some high school,free/reduced,completed,73,91,88
male,group E,associate's degree,standard,completed,88,78,86
male,group C,associate's degree,standard,none,65,63,57
male,group E,some college,standard,none,75,66,59
female,group C,bachelor's degree,standard,none,63,74,75
female,group B,bachelor's degree,free/reduced,completed,49,57,61
female,group E,some high school,standard,none,87,87,84
male,group C,some high school,standard,none,57,46,44
female,group C,bachelor's degree,standard,none,64,82,80
female,group B,some high school,standard,none,52,65,60
male,group C,master's degree,standard,none,85,81,80
male,group C,associate's degree,free/reduced,none,72,80,75
female,group D,high school,free/reduced,completed,78,86,88
male,group B,some college,standard,none,76,70,67
female,group B,high school,standard,completed,72,73,72
female,group C,some college,free/reduced,completed,67,89,89
male,group D,high school,standard,completed,70,72,67
female,group D,some college,standard,none,58,62,63
male,group B,some college,standard,none,58,47,45
female,group B,some high school,standard,none,37,51,43
male,group A,high school,standard,completed,80,72,72
female,group B,high school,standard,none,65,68,67
male,group C,some high school,standard,none,67,65,62
male,group E,some college,free/reduced,none,67,67,62
male,group C,high school,standard,completed,72,67,67
female,group B,high school,standard,none,54,56,59
male,group C,bachelor's degree,standard,completed,86,77,80
female,group C,associate's degree,free/reduced,none,28,32,28
female,group E,some high school,standard,none,52,71,70
female,group C,high school,standard,none,77,81,85
female,group C,master's degree,standard,completed,62,68,75
female,group E,some high school,standard,completed,90,96,98
female,group D,some college,free/reduced,none,41,58,60
female,group E,bachelor's degree,standard,completed,98,100,99
male,group E,high school,standard,none,93,86,76
female,group C,associate's degree,free/reduced,none,44,55,61
female,group D,some high school,standard,none,83,92,93
male,group D,associate's degree,standard,completed,99,85,88
female,group C,some college,standard,none,77,79,78
female,group C,some college,standard,none,79,93,81
male,group B,high school,standard,completed,88,87,85
male,group C,some college,standard,completed,71,66,70
male,group B,bachelor's degree,free/reduced,none,50,40,38
female,group E,high school,free/reduced,completed,59,68,68
female,group A,bachelor's degree,free/reduced,none,62,75,73
female,group E,high school,standard,none,71,83,79
male,group B,associate's degree,free/reduced,completed,50,56,55
male,group D,associate's degree,standard,none,71,73,69
female,group D,some college,standard,none,75,75,78
male,group E,master's degree,free/reduced,none,68,70,62
male,group D,some high school,standard,completed,70,66,72
male,group D,some high school,standard,none,70,66,59
male,group C,high school,standard,completed,78,81,80
male,group D,master's degree,standard,none,70,65,56
female,group B,some high school,standard,none,60,73,68
male,group C,some high school,standard,completed,63,69,68
